text,label
Якість звичайна для цієї ціни,neutral
Покупець отримав номер накладної,neutral
Замовлення виконали швидко і без проблем,positive
Інформацію про доставку оновлено,neutral
Усе пройшло без затримок,positive
Замовлення прийшло із запізненням,negative
Якість товару нижча ніж очікувала,negative
"Сервіс був поганий, я залишилась незадоволена",negative
"Дуже поганий досвід, більше не замовлятиму",negative
Не змогла додзвонитися до підтримки,negative
"Результат чудовий, я задоволена",positive
Доставка була перенесена без попередження,negative
Менеджер був уважний до деталей замовлення,positive
Сайт зручний для оформлення замовлення,positive
Повернення коштів зайняло багато часу,negative
Замовлення було доставлено сьогодні,neutral
Товар прийшов пошкоджений і не відповідав опису,negative
Дуже швидка доставка і приємне обслуговування,positive
Замовлення доставили швидко і без пошкоджень,positive
Мені дуже сподобалась якість товару,positive
Товар виглядає краще ніж очікувала,positive
Сервіс працює швидко і зрозуміло,positive
"Все було чудово, буду замовляти ще",positive
Підтримка відповіла ввічливо і допомогла вирішити питання,positive
Дуже сподобалося обслуговування,positive
Оплата доступна кількома способами,neutral
Підтримка не відповідала кілька днів,negative
Посилка передана до служби доставки,neutral
"Все пройшло добре, рекомендую цей сервіс",positive
Ціна завищена для такої якості,negative
"Сервіс працює добре, мені все сподобалось",positive
Якість товару приємно здивувала,positive
Пакування було розірване,negative
Послугу виконали якісно,positive
Менеджер надав загальну інформацію про товар,neutral
"Доставка тривала дуже довго, це розчарувало",negative
"Продукт не працює так, як було заявлено",negative
Дуже хороший сервіс і приємні працівники,positive
Товар був пошкоджений під час доставки,negative
Кур’єр заздалегідь попередив про доставку,positive
Товар отримала через три дні,neutral
Товар повністю відповідає опису на сайті,positive
Покупка пройшла нормально,neutral
Клієнтський сервіс працює повільно і неякісно,negative
Замовлення було створено в особистому кабінеті,neutral
Отримала саме те що замовляла,positive
Система підтвердила оплату,neutral
Товар є в наявності на складі,neutral
Пакування було акуратним і надійним,positive
Підтримка швидко замінила пошкоджений товар,positive
Користувач отримав повідомлення про статус замовлення,neutral
Товар швидко зламався,negative
Товар отримано згідно з описом,neutral
Загалом досвід покупки нейтральний,neutral
Відповідь підтримки була короткою,neutral
Товар має простий дизайн,neutral
Менеджер уточнив деталі замовлення,neutral
Додаткових питань після покупки не виникло,neutral
У комплекті не вистачало частини деталей,negative
Покупкою залишилася задоволена,positive
"Оплата пройшла успішно, замовлення оформлено",neutral
Мені не сподобалась якість товару,negative
"Доставка була швидкою, товар чудовий",positive
Повторно замовляти не планую,negative
Мені не сподобався сервіс і довге очікування,negative
Я незадоволена покупкою і хочу повернення коштів,negative
Не рекомендую цей сервіс,negative
"Замовлення затримали, сервіс розчарував",negative
"Очікування було занадто довгим, результат поганий",negative
Я отримала не той товар,negative
Товар отримала у звичайному стані,neutral
Оплату провели без проблем,positive
Сервіс працює як більшість подібних магазинів,neutral
Замовлення було оформлено без особливих проблем,neutral
Замовлення знаходиться в обробці,neutral
Дуже приємний досвід користування,positive
"Враження негативне, сервіс не виправдав очікувань",negative
Товар відповідає базовим очікуванням,neutral
Інформації на сайті достатньо для вибору,neutral
Доставка була платною,neutral
Менеджер відповів грубо,negative
Менеджер детально пояснив умови замовлення,positive
Магазин залишив хороше враження,positive
Сайт постійно зависав під час оформлення замовлення,negative
Опис товару не відповідає реальності,negative
Магазин виконав замовлення без додаткових коментарів,neutral
